Fakultet,,,,,,,,,
FDU,Kategorija,Potkategorija,Naslov,Godina,Autor,Izdavac,Tagovi,Link do knjige,Opis
,,,"Fulfilling the Promise of Technology Transfer
 Fostering innovation for the benefit of society",,"Editor
 Koichi Hishida",Springer,"industry, academia collaboration, innovation, knowledge transfer, technology transfer",https://drive.google.com/file/d/1x2D3q8QUylO9khOyA_lTuF9jucj6vq2S/view?usp=sharing,This book represents a collection of papers from the international symposium titled “Fulfilling the Promise of Technology Transfer: Fostering Innovation for the Benefit of Society.”
,,,Infrastructure and Economic Growth in Asia,,"Editors
John Cockburn
 Yazid Dissou
 Jean-Yves Duclos
 Luca Tiberti",Springer,"China, Growth, Infrastructure, Investment, Pakistan, Philippines",https://drive.google.com/file/d/14I7K3j2B7P6N_Z7r4Y_BQW0n2DiTpu3n/view?usp=sharing,"This book provides a comparative analysis of the aggregate and sectoral implications of higher spending on infrastructure in three very different Asian countries: China, Pakistan, and the Philippines. "
,,,"Intel Trusted execution technology for server platforms
 A guide to more secure datacenters",,"William Futral
 James Greene","Apress, Berkeley, CA","Txt, attestation, launch control policy, datacenter, cloud, trusted computing",https://drive.google.com/file/d/1yaDw0zzmooD1pGs0BhFFoc0zrtDxId8K/view?usp=sharing, This book guides the server administrator / datacenter manager in enabling the technology as well as establishing a launch control policy that he can use to customize the server’s boot process to fit the datacenter’s requirements.
,,,"Managing risk and information security
 Protect to enable",,Malcolm Harkins,"Apress, Berkeley, CA","Risk perception, partnerships, security threats, security architecture, CISO",https://drive.google.com/file/d/1_W_C2UeyKJdVGO8Z1fj4npvyib9prB38/view?usp=sharing,"This compact book discusses business risk from a broader perspective, including privacy and regulatory considerations. It describes the increasing number of threats and vulnerabilities, but also offers strategies for developing solutions."
,,,"The Future Internet
 The Future Internet Assembly 2013: Validated results and new horizons – zbornik radova",,"Editors
 Alex Galis
 Anastasius Gavras","Springer, Berlin, Heidelberg","cognitive management, device-independent applications,model-driven user interfaces,software defined networking,ubiquitous Web, cloud, IoT, SLA, open solutions, SmartenIT, NEBULA, IoT6, EARTH project. CONCORD, iCore, ITU-T, QoS, OpenFlow, SmartSantander. OSGi, ComVantage, FIRE, 3DLife, FLAMINGO, NoE, GEYSERS, UniverSelf",https://drive.google.com/file/d/1TP6f2XF9osYGIFQxbmFZCl7nbnwFk1Zf/view?usp=sharing,The Future Internet Assembly (FIA) is a successful conference that brings together participants of over 150 research projects from several distinct yet interrelated areas in the European Union Framework Programme 7 (FP7). This book i s a collection of papers from the conference.
,,,"Contextual Process Digitalization
 Changing Perspectives – Design Thinking – Value-led Design",2020,"Albert Fleischmann
 Stefan Oppl
 Werner Schmidt
 Christian Stary","Springer, Cham","Open AccessS,BPM,Design Thinking,Business Process, Management,Workflow, Management Organization",https://drive.google.com/file/d/1a_XWKxaMlohXW7_obv-jBfFlHZz3aZ4A/view?usp=sharing,"The book presents various facets of business process management from the perspective of the participants, and introduces a selection of models that have proved useful in practice."
,,,"A Tale of Two Systems
 A review of the architecting and re-architecting of a long-lived website",2017,"Rene Reitsma
 Kevin Krueger",Oregon State University,"TeachEngineering, open source, XML, JSON, NoSqul, TE1.0, TE 2.0",https://drive.google.com/file/d/10XCd39a1JGQjGfpDjT22F2WPZRTlq5ZS/view?usp=sharing,"This text is meant as a case study and companion text to many Systems Analysis & Design textbooks used in undergraduate Management Information Systems (MIS), Business Information Systems (BIS) and Computer Information Systems (CIS) programs."
,,,Beginning Excel 2019,2017,"Noreen Brown
Barbara Lave
 Hallie Puncochar
 Julie Romey
 Mary Schatz
 Art Schneider
Diane Shingledecker",Open Oregon Educational Resources,"Formatting, data analysis, formulas, statistics, finance, functions, charts, tables, sheet",https://drive.google.com/file/d/155elYHK__81shlBdeXtAKk0EkA1U7CxO/view?usp=sharing,This Beginning Excel textbook is intended for use in a one-term introductory spreadsheet course for all majors taught at two-year colleges. This textbook includes instructions for Excel for Mac also.
,,,"Business Information Systems
 Design an App for that",2011,"Raymond Frost
Jacqueline Pike
Lauren Kenyo
Sarah Pels",Saylor Foundation,"MIS, ERP, SCM, CRM, business intelligence, cloud computing, adobe color, Google, Mock App, PollEverywhere, Microsoft Office, VARK",https://drive.google.com/file/d/1OV40o-RowvdOHW0DaPg_dRPZp1itWX2c/view?usp=sharing,"We set out to design an introductory course governed by four themes:
1. Give students a good idea of what a career in MIS looks like by doing MIS.
2. Enhance the professionalism of deliverables by teaching design and usability concepts.
3. Promote creativity by assigning projects that demand it.
4. Teach students about cloud computing by having them do cloud computing."
,,,"Business Intelligence 
 Solution for business development - copyright issues?",2012,Marinela Mircea,,"ENI2M, management, XML, Analytical tools, data mining",https://drive.google.com/file/d/11ItV7PLSK5zi4mJidXaWfEEkMSzlpR2E/view?usp=sharing,This book presents both an overview of Business Intelligence and an in-depth analysis of current applications and future directions for this technology. 
,,,Business Computers 365,2019,Marcus Lacher,Marcus Lacher,"PC, file management, keyboard shortcuts, text, symbols, WordArt, SmartArt, hyperlinks, spreadsheet, chart, database, PowerPoint, presentation, list,",https://drive.google.com/file/d/1kwQjarvD3qtrGNPL2QoNue6uZKay6KAT/view?usp=sharing,This book is an introduction to Computer Applications or Business Computers for Office 365.
,,,Business Processes and Information Technology,2010,"Ulric J Gelinas, Jr.
 Steve G. Sutton
 Jane Federowicz",Orange Grove Texts Plus,"Enterprise systems, B2C, e-business, B2B, information technology, IT, security, governance, case studies, system, knowledge management, Order-to-Cash, M/S, Revenue Collection, RC, PtoP, IPP, BR",https://drive.google.com/file/d/1Echd2RdLfHeUzI4qZW8eyXAFEBDbzAI1/view?usp=sharing,"Business Processes and Information Technology prepares students to effectively use, manage, and participate in the development of information technology applications in support of common business processes. "
,,,"Making WEconomy
 Design: (Re)Shaping Business - magazine",2012,"editors
Thomas Bialas
Matteo Pozzi",www.weconomy.it,"Open design, co-design, social design, designer",https://drive.google.com/file/d/13ZkgP99ys3bA3T0--WbJ4hF7wCZU0p-e/view?usp=sharing,"This magazine collects and develops ideas and
contributions from the event/exhibition “Making
Together / Shaping Tomorrow” by Logotel."
,,,Introduction to Business Analytics - lectures,2013,Stephen Mahar,"Villanova School of Business, Villanova University","XLMiner, Excel, add-ins, @Risk, data mining, analytics, Market Basket Analysis, classification and regression trees",https://drive.google.com/file/d/1gkOh0IFG59T0IldnofVmZIQJMNKzTvUQ/view?usp=sharing,This books serves as a guide to Business Analytics introductory course.
,,,"Digital Accessibility as a Business Practice
 Essential Skills for Business Leaders",2018,"Greg Gay
 Frank Miller
 Christopher West","Digital Education Strategies, The Chang School","AODA, North America, law, disabilities, management, Kotter’s model, Lewin’s Model, policy, VPAT, hiring",https://drive.google.com/file/d/1hQZ16pfy096KOm3BtK14C2XUjZmA3HBS/view?usp=sharing,"This textbook provides business leaders with the tools and knowledge needed to effectively enable digital accessibility in an organization through cultural change, raising awareness of its importance, and equipping employees with the specific tools and knowledge they need to address digital accessibility as part of their everyday work."
,,,Electronic Commerce: The Strategic Perspective,2008,"Richard T. Watson
 Pierre Berthon
 Leyland F. Pitt
 George M. Zinkhan",	The Global Text,"Electronic commerce strategy, web strategy, integrated web, communication, promotion, purchase, distribution, service, pricing, e-commerce",https://drive.google.com/file/d/1w9GeTNe30fDB1h9DsFoJa02fOAxbTFUN/view?usp=sharing,"The book's title reflects the key themes developed in this book - electronic commerce is a strategic perspective that all firms must adopt, both in the present and in the future and this book serves as a guide through that process."
,,,Fundamentals of Infrastructure Management,2017,"Donald Coffelt
 Chris Hendrickson",Donald Coffelt and Chris Hendrickson,"Asset management, commercial roof management, inventory, inspection, deterioration modeling, optimization, budget, cost, performance, interdependence, resiliency, security, workflow management, benchmarking, roadway infrastructure, telecommunications,",https://drive.google.com/file/d/1DZB57QFGJdyiV7tCLFuwcuKmgwDuD-HK/view?usp=sharing,"The text draws examples and discusses a wide variety of infrastructure systems, including roadways, telecommunications, power generation, buildings and systems of infrastructure. "
,,,Fuzzy Techniques for Decision Making - journal,2018,"editor
Jose Csrlos R. Alcantud ",MDPI,"Decision theory, history, logic, maths, set theory",https://drive.google.com/file/d/1NhQuxxyNZmQoKTR2b3gerYcAaYeAqpy8/view?usp=sharing,"This book represents a collection on papers regarding novel techniques and tools for decision making (e.g., group or multi-criteria decision making) with notions that overcome the problem of finding the membership degree of each element in Zadeh’s original model. "
,,,"Teaching Tech Together
 How to design and deliver lesson that work and build a teaching community around them",2018,Greg Wilson,        Self-published?,"

cognition, education, learning, marketing, MOOCs, pedagogy, technology, TICs",https://drive.google.com/file/d/1SsSJCKkA3tHLEfmmhF48deW2tHqPd-p4/view?usp=sharing,"Just as knowing a few basic facts about germs and nutrition can help you stay healthy, knowing a few things about psychology, instructional design, inclusivity, and community organization can help you be a more effective teacher. This book presents evidence-based practices you can use right now, explains why we believe they are true, and points you at other resources that will help you go further. "
